time,ueid,TDDLTE_L1_measurement_Serving_Cell_Measurement_RSRP,TDDLTE_L1_measurement_Serving_Cell_Measurement_SINR
39699750,1,-75,10
39699984,1,-76,9
39700218,1,-75,10
39700343,1,-75,9
39700578,1,-76,8
39700750,1,-75,9
39701125,1,-75,8
39701218,1,-76,9
39701468,1,-75,8
39701578,1,-75,8
39701750,1,-75,9
39701937,1,-74,8
39702218,1,-74,9
39702343,1,-75,9
39702625,1,-75,9
39702750,1,-74,9
39702984,1,-75,9
39703218,1,-74,9
39703468,1,-74,9
39703578,1,-74,9
39703750,1,-74,9
39703984,1,-74,9
39704218,1,-74,9
39704343,1,-74,9
39704578,1,-75,9
39704750,1,-74,9
39704984,1,-75,9
39705218,1,-75,9
39705468,1,-75,9
39705578,1,-75,9
39705750,1,-75,9
39705984,1,-75,9
39706218,1,-74,9
39706468,1,-75,9
39706578,1,-75,9
39706750,1,-75,9
39706984,1,-75,9
39707218,1,-75,9
39707468,1,-75,9
39707578,1,-75,9
39707750,1,-74,9
39707984,1,-74,9
39708218,1,-74,9
39708343,1,-74,8
39708578,1,-74,9
39708750,1,-75,10
39708984,1,-77,9
39709218,1,-80,9
39709343,1,-78,8
39709578,1,-74,8
39709750,1,-74,9
39709984,1,-74,10
39710218,1,-74,10
39710343,1,-74,10
39710578,1,-74,9
39710750,1,-74,9
39710984,1,-75,9
39711140,1,-74,7
39711468,1,-74,7
39711578,1,-75,7
39711750,1,-74,7
39711984,1,-76,7
39712218,1,-75,10
39712343,1,-75,8
39712578,1,-74,9
39712750,1,-74,8
39712984,1,-76,8
39713218,1,-75,9
39713468,1,-77,10
39713578,1,-75,11
39713750,1,-74,11
39713984,1,-75,9
39714343,1,-74,10
39714578,1,-74,8
39714750,1,-74,9
39714984,1,-74,9
39715218,1,-74,10
39715468,1,-74,10
39715578,1,-73,11
39715750,1,-73,11
39715984,1,-72,11
39716218,1,-72,10
39716468,1,-72,10
39716578,1,-72,10
39716750,1,-72,11
39716984,1,-73,11
39717218,1,-73,11
39717468,1,-73,10
39717546,1,-73,10
39717750,1,-73,10
39717984,1,-72,10
39718218,1,-72,10
39718343,1,-72,11
39718578,1,-72,10
39718750,1,-73,11
39718984,1,-73,11
39719218,1,-73,11
39719468,1,-73,12
39719578,1,-73,12
39719750,1,-73,11
39719984,1,-73,11
39720218,1,-73,11
39720343,1,-73,12
39720578,1,-73,11
39720750,1,-73,11
39720984,1,-73,11
39721218,1,-74,11
39721468,1,-74,10
39721578,1,-73,11
39721750,1,-73,11
39721984,1,-73,11
39722218,1,-73,11
39722343,1,-72,11
39722578,1,-73,11
39722750,1,-73,11
39722984,1,-74,10
39723218,1,-74,10
39723468,1,-73,11
39723578,1,-73,11
39723750,1,-74,10
39723984,1,-74,11
39724218,1,-74,10
39724343,1,-74,11
39724578,1,-74,11
39724750,1,-74,10
39725109,1,-74,11
39725218,1,-74,10
39725468,1,-74,10
39725578,1,-74,11
39725750,1,-74,10
39725984,1,-74,10
39726218,1,-75,10
39726343,1,-74,11
39726578,1,-73,11
39726750,1,-74,11
39726984,1,-74,12
39727218,1,-74,11
39727343,1,-74,11
39727578,1,-74,11
39727750,1,-74,11
39727984,1,-74,12
39728218,1,-74,11
39728343,1,-74,11
39728578,1,-74,11
39728750,1,-74,11
39728984,1,-74,11
39729218,1,-75,11
39729468,1,-75,10
39729578,1,-75,9
39729750,1,-75,9
39729984,1,-75,10
39730218,1,-75,9
39730343,1,-75,9
39730578,1,-75,9
39730750,1,-75,10
39730984,1,-75,10
39731218,1,-75,9
39731468,1,-75,11
39731578,1,-75,9
39731750,1,-75,10
39731984,1,-75,9
39732218,1,-75,10
39732343,1,-75,9
39732578,1,-74,10
39732750,1,-74,10
39732984,1,-74,10
39733218,1,-74,10
39733468,1,-74,10
39733578,1,-74,10
39733750,1,-74,10
39733984,1,-74,10
39734218,1,-74,10
39734343,1,-74,10
39734578,1,-74,10
39734750,1,-74,10
39734984,1,-74,10
39735218,1,-74,10
39735578,1,-74,10
39735750,1,-74,10
39735984,1,-74,10
39736218,1,-74,10
39736468,1,-74,10
39736578,1,-74,10
39736828,1,-73,12
39736937,1,-74,11
39737218,1,-75,10
39737468,1,-75,10
39737578,1,-76,9
39737750,1,-76,9
39737984,1,-76,9
39738218,1,-75,10
39738343,1,-75,9
39738578,1,-75,10
39738750,1,-75,10
39738984,1,-75,10
39739218,1,-74,11
39739468,1,-74,10
39739578,1,-75,12
39739750,1,-75,11
39739984,1,-75,11
39740218,1,-75,10
39740343,1,-74,10
39740578,1,-75,10
39740828,1,-75,12
39740984,1,-75,10
39741218,1,-74,11
39741468,1,-76,10
39741578,1,-76,9
39741750,1,-76,9
39741984,1,-77,9
39742218,1,-76,10
39742343,1,-76,11
39742578,1,-76,11
39742750,1,-76,10
39742984,1,-76,10
39743218,1,-76,11
39743468,1,-76,10
39743578,1,-76,10
39743750,1,-77,10
39743984,1,-76,9
39744218,1,-77,9
39744343,1,-76,10
39744578,1,-75,10
39744750,1,-76,10
39744984,1,-76,9
39745218,1,-77,9
39745468,1,-76,10
39745578,1,-76,10
39745750,1,-77,11
39745984,1,-77,10
39746218,1,-77,10
39746468,1,-77,10
39746578,1,-77,10
39746750,1,-77,9
39746984,1,-79,9
39747218,1,-77,10
39747468,1,-77,11
39747578,1,-76,11
39747750,1,-76,11
39748109,1,-75,12
39748218,1,-75,11
39748421,1,-76,11
39748578,1,-76,11
39748750,1,-76,11
39748984,1,-76,11
39749218,1,-75,11
39749468,1,-75,11
39749578,1,-75,11
39749750,1,-75,11
39749984,1,-76,10
39750218,1,-76,11
39750343,1,-76,11
39750578,1,-76,12
39750750,1,-76,11
39750984,1,-77,11
39751218,1,-76,11
39751421,1,-75,11
39751578,1,-76,12
39751750,1,-75,12
39751984,1,-75,12
39752218,1,-75,11
39752343,1,-75,11
39752578,1,-75,11
39752750,1,-75,11
39752984,1,-75,11
39753218,1,-75,11
39753468,1,-75,11
39753578,1,-75,11
39753750,1,-75,11
39753984,1,-75,11
39754343,1,-74,12
39754578,1,-74,12
39754750,1,-74,12
39754984,1,-73,12
39755218,1,-73,12
39755343,1,-74,11
39755578,1,-73,11
39755750,1,-73,12
39755984,1,-73,12
39756218,1,-74,12
39756468,1,-74,12
39756578,1,-74,12
39756750,1,-73,12
39756984,1,-74,11
39757218,1,-73,12
39757468,1,-73,12
39757578,1,-74,12
39757750,1,-73,12
39757984,1,-74,12
39758218,1,-74,12
39758343,1,-74,11
39758578,1,-74,12
39758750,1,-74,12
39758984,1,-74,12
39759218,1,-74,12
39759468,1,-74,12
39759578,1,-73,12
39759750,1,-73,11
39759984,1,-74,12
39760218,1,-75,10
39760343,1,-74,12
39760578,1,-75,12
39760750,1,-75,12
39760984,1,-74,12
39761218,1,-74,13
39761468,1,-74,11
39761578,1,-75,11
39761750,1,-75,11
39762109,1,-74,13
39762218,1,-74,11
39762343,1,-74,11
39762578,1,-74,11
39762750,1,-73,12
39762984,1,-73,11
39763140,1,-73,12
39763468,1,-73,12
39763578,1,-73,12
39763750,1,-73,11
39763984,1,-74,11
39764218,1,-74,11
39764468,1,-73,12
39764578,1,-74,12
39764750,1,-74,12
39764984,1,-74,12
39765218,1,-75,11
39765468,1,-75,12
39765578,1,-75,13
39765750,1,-74,12
39765984,1,-74,12
39766218,1,-74,11
39766343,1,-74,11
39766578,1,-74,11
39766750,1,-73,12
39766984,1,-73,11
39767218,1,-73,13
39767468,1,-73,12
39767578,1,-73,12
39767750,1,-73,12
39767984,1,-73,13
39768218,1,-73,13
39768343,1,-73,13
39768578,1,-73,12
39768750,1,-73,12
39768984,1,-73,12
39769218,1,-73,12
39769468,1,-74,11
39769578,1,-74,12
39769750,1,-74,11
39769984,1,-74,13
39770218,1,-74,12
39770343,1,-74,12
39770578,1,-74,12
39770750,1,-73,12
39770984,1,-73,12
39771218,1,-73,12
39771343,1,-73,12
39771625,1,-73,13
39771750,1,-73,12
39771984,1,-73,12
39772218,1,-73,11
39772343,1,-73,12
39772578,1,-73,12
39772750,1,-73,12
39772984,1,-73,13
39773218,1,-74,12
39773468,1,-74,11
39773625,1,-74,11
39773750,1,-74,12
39773984,1,-74,12
39774218,1,-74,11
39774343,1,-74,12
39774578,1,-74,12
39774750,1,-75,11
39774937,1,-74,12
39775187,1,-75,12
39775468,1,-74,14
39775578,1,-74,13
39775750,1,-74,12
39775984,1,-75,11
39776218,1,-75,10
39776343,1,-75,11
39776578,1,-75,10
39776750,1,-75,11
39777140,1,-75,12
39777468,1,-74,12
39777578,1,-74,12
39777750,1,-75,11
39778109,1,-75,12
39778218,1,-75,12
39778343,1,-74,12
39778578,1,-74,12
39778750,1,-74,12
39778937,1,-75,11
39779218,1,-74,11
39779468,1,-74,13
39779578,1,-75,12
39779750,1,-75,11
39779984,1,-74,11
39780218,1,-74,11
39780343,1,-73,11
39780578,1,-74,11
39780750,1,-74,12
39780984,1,-74,12
39781218,1,-73,12
39781343,1,-74,11
39781578,1,-74,12
39781750,1,-74,10
39781984,1,-73,11
39782218,1,-73,11
39782343,1,-75,10
39782578,1,-74,12
39782750,1,-74,12
39782984,1,-74,12
39783218,1,-74,12
39783468,1,-74,12
39783578,1,-74,12
39783750,1,-74,12
39783984,1,-74,12
39784218,1,-74,11
39784343,1,-73,13
39784578,1,-73,12
39784828,1,-74,11
39785062,1,-74,12
39785187,1,-73,12
39785468,1,-74,11
39785578,1,-73,12
39785750,1,-74,11
39785984,1,-74,11
39786218,1,-74,12
39786343,1,-74,11
39786578,1,-74,11
39786750,1,-75,11
39786984,1,-74,12
39787140,1,-75,11
39787468,1,-74,13
39787578,1,-73,11
39787828,1,-74,11
39787937,1,-74,11
39788218,1,-73,11
39788343,1,-73,11
39788578,1,-73,11
39788750,1,-74,12
39788984,1,-75,11
39789218,1,-75,12
39789468,1,-75,12
39789578,1,-74,12
39789750,1,-74,12
39789984,1,-74,12
39790218,1,-74,11
39790343,1,-74,12
39790578,1,-74,12
39790750,1,-74,12
39790984,1,-74,11
39791218,1,-74,10
39791468,1,-74,10
39791578,1,-75,10
39791750,1,-75,12
39791984,1,-75,11
39792218,1,-75,10
39792343,1,-76,10
39792578,1,-76,10
39792750,1,-75,10
39792984,1,-75,11
39793218,1,-75,12
39793578,1,-75,12
39793750,1,-74,11
39793937,1,-73,12
39794218,1,-75,12
39794343,1,-76,12
39794578,1,-76,11
39794750,1,-75,11
39794984,1,-75,11
39795218,1,-75,12
39795343,1,-75,11
39795578,1,-75,12
39795750,1,-75,11
39795984,1,-75,12
39796218,1,-75,11
39796343,1,-75,11
39796578,1,-75,11
39796750,1,-75,13
39797140,1,-75,11
39797468,1,-75,12
39797578,1,-75,12
39797750,1,-75,12
39797984,1,-75,11
39798218,1,-75,12
39798343,1,-74,12
39798578,1,-75,12
39798750,1,-75,11
39798984,1,-75,12
39799218,1,-75,12
39799468,1,-75,12
39799578,1,-75,11
39799750,1,-76,12
39799984,1,-76,11
39800218,1,-76,11
39800468,1,-75,12
39800578,1,-76,11
39800750,1,-75,11
39800984,1,-75,13
39801140,1,-75,12
39801343,1,-76,10
39801578,1,-76,11
39801750,1,-75,11
39801984,1,-76,11
39802140,1,-75,11
39802343,1,-76,11
39802578,1,-76,11
39802750,1,-76,11
39802984,1,-75,11
39803218,1,-75,11
39803468,1,-75,11
39803578,1,-75,11
39803750,1,-75,11
39803984,1,-75,11
39804218,1,-75,11
39804343,1,-75,11
39804578,1,-75,11
39804750,1,-75,11
39804984,1,-75,11
39805218,1,-75,11
39805468,1,-75,11
39805578,1,-75,11
39805828,1,-75,12
39805984,1,-75,11
39806218,1,-74,12
39806343,1,-74,11
39806578,1,-74,12
39806750,1,-74,11
39806984,1,-74,12
39807218,1,-74,11
39807468,1,-75,11
39807578,1,-74,11
39807750,1,-74,11
39807984,1,-74,12
39808218,1,-74,12
39808343,1,-74,11
39808578,1,-74,11
39808750,1,-74,11
39808984,1,-74,11
39809218,1,-74,11
39809468,1,-74,11
39809578,1,-74,11
39809859,1,-74,12
39809984,1,-73,11
39810218,1,-74,11
39810468,1,-74,12
39810578,1,-74,11
39810750,1,-73,11
39810984,1,-73,11
39811140,1,-73,11
39811468,1,-73,11
39811578,1,-73,11
39811750,1,-73,11
39811984,1,-74,11
39812218,1,-73,11
39812468,1,-74,11
39812578,1,-73,11
39812750,1,-74,11
39812984,1,-74,10
39813218,1,-74,10
39813468,1,-74,10
39813578,1,-74,11
39813750,1,-74,10
39813984,1,-73,11
39814218,1,-73,11
39814343,1,-74,10
39814578,1,-74,11
39814750,1,-73,10
39814937,1,-74,11
39815218,1,-74,11
39815468,1,-74,11
39815578,1,-73,10
39815750,1,-73,10
39815984,1,-73,10
39816218,1,-73,11
39816343,1,-73,11
39816578,1,-74,10
39816750,1,-73,11
39816984,1,-74,10
39817218,1,-73,11
39817343,1,-73,11
39817578,1,-73,11
39817750,1,-72,11
39817984,1,-72,11
