Time,PCTime,UEid,Serving Cell RSRP(dBm)
16:10:6.002,58206002,1,-89
16:10:6.203,58206203,1,-85
16:10:6.403,58206403,1,-82
16:10:6.602,58206602,1,-88
16:10:6.802,58206802,1,-79
16:10:7.042,58207042,1,-82
16:10:7.223,58207223,1,-79
16:10:7.438,58207438,1,-81
16:10:7.642,58207642,1,-80
16:10:7.802,58207802,1,-80
16:10:8.002,58208002,1,-79
16:10:8.223,58208223,1,-84
16:10:8.403,58208403,1,-80
16:10:8.642,58208642,1,-78
16:10:8.805,58208805,1,-79
16:10:9.003,58209003,1,-80
16:10:9.205,58209205,1,-81
16:10:9.403,58209403,1,-81
16:10:9.642,58209642,1,-80
16:10:9.843,58209843,1,-78
16:10:10.003,58210003,1,-82
16:10:10.223,58210223,1,-78
16:10:10.444,58210444,1,-83
16:10:10.602,58210602,1,-78
16:10:10.803,58210803,1,-79
16:10:11.003,58211003,1,-81
16:10:11.223,58211223,1,-79
16:10:11.444,58211444,1,-81
16:10:11.683,58211683,1,-86
16:10:11.843,58211843,1,-81
16:10:12.002,58212002,1,-83
16:10:12.223,58212223,1,-84
16:10:12.403,58212403,1,-82
16:10:12.603,58212603,1,-87
16:10:12.803,58212803,1,-82
16:10:13.043,58213043,1,-81
16:10:13.223,58213223,1,-83
16:10:13.405,58213405,1,-82
16:10:13.643,58213643,1,-83
16:10:13.883,58213883,1,-82
16:10:14.043,58214043,1,-80
16:10:14.202,58214202,1,-82
16:10:14.403,58214403,1,-83
16:10:14.603,58214603,1,-82
16:10:14.842,58214842,1,-83
16:10:15.043,58215043,1,-82
16:10:15.224,58215224,1,-82
16:10:15.403,58215403,1,-85
16:10:15.643,58215643,1,-84
16:10:15.829,58215829,1,-84
16:10:16.042,58216042,1,-86
16:10:16.223,58216223,1,-85
16:10:16.402,58216402,1,-85
16:10:16.605,58216605,1,-85
16:10:16.842,58216842,1,-89
16:10:17.003,58217003,1,-87
16:10:17.224,58217224,1,-82
16:10:17.403,58217403,1,-86
16:10:17.604,58217604,1,-82
16:10:17.802,58217802,1,-84
16:10:18.002,58218002,1,-85
16:10:18.203,58218203,1,-85
16:10:18.404,58218404,1,-86
16:10:18.602,58218602,1,-90
16:10:18.803,58218803,1,-90
16:10:19.003,58219003,1,-87
16:10:19.203,58219203,1,-91
16:10:19.442,58219442,1,-88
16:10:19.604,58219604,1,-89
16:10:19.922,58219922,1,-89
16:10:19.979,58219979,1,-90
16:10:20.203,58220203,1,-88
16:10:20.403,58220403,1,-88
16:10:20.603,58220603,1,-87
16:10:20.802,58220802,1,-87
16:10:21.002,58221002,1,-87
16:10:21.223,58221223,1,-89
16:10:21.445,58221445,1,-86
16:10:21.602,58221602,1,-87
16:10:21.842,58221842,1,-87
16:10:22.043,58222043,1,-86
16:10:22.203,58222203,1,-87
16:10:22.442,58222442,1,-86
16:10:22.602,58222602,1,-86
16:10:22.842,58222842,1,-87
16:10:23.069,58223069,1,-88
16:10:23.223,58223223,1,-88
16:10:23.444,58223444,1,-87
16:10:23.602,58223602,1,-87
16:10:23.802,58223802,1,-88
16:10:24.002,58224002,1,-87
16:10:24.223,58224223,1,-88
16:10:24.402,58224402,1,-87
16:10:24.643,58224643,1,-86
16:10:24.802,58224802,1,-88
16:10:25.002,58225002,1,-89
16:10:25.202,58225202,1,-90
